# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "--countReadPairs" "-s" "0" "-a" "PAO1_2/data/reference/Pseudomonas_aeruginosa_PAO1_107.gff" "-o" "PAO1_2/results/counts/SRR14995085_counts.txt" "-t" "gene" "-g" "Alias" "PAO1_2/data/aligned/SRR14995085.bam" 
Geneid	Chr	Start	End	Strand	Length	PAO1_2/data/aligned/SRR14995085.bam
PA0001	refseq|NC_002516.2|chromosome	483	2027	+	1545	8153
PA0002	refseq|NC_002516.2|chromosome	2056	3159	+	1104	9371
PA0003	refseq|NC_002516.2|chromosome	3169	4278	+	1110	3924
PA0004	refseq|NC_002516.2|chromosome	4275	6695	+	2421	13168
PA0005	refseq|NC_002516.2|chromosome	7018	7791	-	774	964
PA0006	refseq|NC_002516.2|chromosome	7803	8339	-	537	1101
PA0007	refseq|NC_002516.2|chromosome	8671	10377	+	1707	4153
PA0008	refseq|NC_002516.2|chromosome	10434	12488	-	2055	3121
PA0009	refseq|NC_002516.2|chromosome	12488	13435	-	948	2005
PA0010	refseq|NC_002516.2|chromosome	13540	14091	+	552	442
PA0011	refseq|NC_002516.2|chromosome	14235	15122	+	888	1470
PA0012	refseq|NC_002516.2|chromosome	15207	15473	+	267	1043
PA0013	refseq|NC_002516.2|chromosome	15620	16273	+	654	436
PA0014	refseq|NC_002516.2|chromosome	16335	16607	-	273	522
PA0015	refseq|NC_002516.2|chromosome	16900	17217	-	318	1295
PA0016	refseq|NC_002516.2|chromosome	17366	18739	-	1374	2766
PA0017	refseq|NC_002516.2|chromosome	18767	20071	-	1305	1001
PA0018	refseq|NC_002516.2|chromosome	20068	21012	-	945	1330
PA0019	refseq|NC_002516.2|chromosome	21067	21573	-	507	4595
PA0020	refseq|NC_002516.2|chromosome	21712	22737	+	1026	2612
PA0021	refseq|NC_002516.2|chromosome	22872	23960	+	1089	273
PA0022	refseq|NC_002516.2|chromosome	24001	24558	+	558	789
PA0023	refseq|NC_002516.2|chromosome	24568	25545	-	978	3197
PA0024	refseq|NC_002516.2|chromosome	25736	26653	+	918	755
PA0025	refseq|NC_002516.2|chromosome	26711	27535	+	825	526
PA0026	refseq|NC_002516.2|chromosome	27646	28632	+	987	2059
PA0027	refseq|NC_002516.2|chromosome	28613	29899	+	1287	825
PA0028	refseq|NC_002516.2|chromosome	29896	30498	+	603	288
PA0029	refseq|NC_002516.2|chromosome	30502	32055	-	1554	304
PA0030	refseq|NC_002516.2|chromosome	32060	32983	-	924	192
PA0031	refseq|NC_002516.2|chromosome	33000	34511	-	1512	686
PA0032	refseq|NC_002516.2|chromosome	34624	35538	+	915	622
PA0033	refseq|NC_002516.2|chromosome	35905	36270	-	366	318
PA0034	refseq|NC_002516.2|chromosome	36278	36901	-	624	281
PA0035	refseq|NC_002516.2|chromosome	37087	37893	-	807	1365
PA0036	refseq|NC_002516.2|chromosome	37890	39098	-	1209	2915
PA0037	refseq|NC_002516.2|chromosome	39202	40089	+	888	725
PA0038	refseq|NC_002516.2|chromosome	40190	40405	+	216	3682
PA0039	refseq|NC_002516.2|chromosome	40589	40816	+	228	12864
PA0040	refseq|NC_002516.2|chromosome	41113	42801	+	1689	621
PA0041	refseq|NC_002516.2|chromosome	42914	53521	+	10608	2467
PA0042	refseq|NC_002516.2|chromosome	56546	56941	+	396	605
PA0043	refseq|NC_002516.2|chromosome	57212	58594	-	1383	1154
PA0044	refseq|NC_002516.2|chromosome	58786	60159	+	1374	634
PA0045	refseq|NC_002516.2|chromosome	60656	61342	+	687	160
PA0046	refseq|NC_002516.2|chromosome	61373	61726	+	354	105
PA0047	refseq|NC_002516.2|chromosome	61879	62388	+	510	102
PA0048	refseq|NC_002516.2|chromosome	62403	62786	-	384	136
PA0049	refseq|NC_002516.2|chromosome	63068	64729	-	1662	586
PA0050	refseq|NC_002516.2|chromosome	65339	65479	+	141	107
PA0051	refseq|NC_002516.2|chromosome	66303	68135	+	1833	376
PA0052	refseq|NC_002516.2|chromosome	68188	68616	-	429	669
PA0053	refseq|NC_002516.2|chromosome	69272	69526	+	255	1192
PA0054	refseq|NC_002516.2|chromosome	69543	70091	-	549	585
PA0055	refseq|NC_002516.2|chromosome	70130	70636	-	507	3146
PA0056	refseq|NC_002516.2|chromosome	70702	71622	-	921	326
PA0057	refseq|NC_002516.2|chromosome	71730	72617	+	888	157
PA0058	refseq|NC_002516.2|chromosome	72680	73384	+	705	187
PA0059	refseq|NC_002516.2|chromosome	73468	73923	+	456	490
PA0060	refseq|NC_002516.2|chromosome	74034	74267	+	234	727
PA0061	refseq|NC_002516.2|chromosome	74279	74716	-	438	933
PA0062	refseq|NC_002516.2|chromosome	74773	75189	-	417	321
PA0063	refseq|NC_002516.2|chromosome	75281	76408	+	1128	739
PA0064	refseq|NC_002516.2|chromosome	76416	77399	-	984	543
PA0065	refseq|NC_002516.2|chromosome	77432	78097	-	666	588
PA0066	refseq|NC_002516.2|chromosome	78090	78632	-	543	910
PA0067	refseq|NC_002516.2|chromosome	78710	80755	+	2046	7338
PA0068	refseq|NC_002516.2|chromosome	80752	81027	+	276	104
PA0069	refseq|NC_002516.2|chromosome	81116	82174	+	1059	490
PA0070	refseq|NC_002516.2|chromosome	82404	83318	-	915	800
PA0071	refseq|NC_002516.2|chromosome	83380	85092	-	1713	1802
PA0072	refseq|NC_002516.2|chromosome	85085	86284	-	1200	43
PA0073	refseq|NC_002516.2|chromosome	86284	87003	-	720	21
PA0074	refseq|NC_002516.2|chromosome	87000	90098	-	3099	310
PA0075	refseq|NC_002516.2|chromosome	90106	90834	-	729	67
PA0076	refseq|NC_002516.2|chromosome	90844	91524	-	681	50
PA0077	refseq|NC_002516.2|chromosome	91521	94826	-	3306	291
PA0078	refseq|NC_002516.2|chromosome	95048	96397	-	1350	97
PA0079	refseq|NC_002516.2|chromosome	96404	97738	-	1335	401
PA0080	refseq|NC_002516.2|chromosome	97754	98218	-	465	149
PA0081	refseq|NC_002516.2|chromosome	98263	99756	-	1494	3526
PA0082	refseq|NC_002516.2|chromosome	100124	101158	+	1035	3368
PA0083	refseq|NC_002516.2|chromosome	101247	101765	+	519	450
PA0084	refseq|NC_002516.2|chromosome	101778	103274	+	1497	1166
PA0085	refseq|NC_002516.2|chromosome	103350	103838	+	489	418
PA0086	refseq|NC_002516.2|chromosome	104006	104851	+	846	196
PA0087	refseq|NC_002516.2|chromosome	104853	105362	+	510	70
PA0088	refseq|NC_002516.2|chromosome	105359	107218	+	1860	131
PA0089	refseq|NC_002516.2|chromosome	107182	108228	+	1047	106
PA0090	refseq|NC_002516.2|chromosome	108221	110929	+	2709	619
PA0091	refseq|NC_002516.2|chromosome	110976	112907	+	1932	342
PA0092	refseq|NC_002516.2|chromosome	113022	113306	-	285	234
PA0093	refseq|NC_002516.2|chromosome	113303	114595	-	1293	823
PA0094	refseq|NC_002516.2|chromosome	114611	115045	-	435	741
PA0095	refseq|NC_002516.2|chromosome	115299	117524	+	2226	1675
PA0096	refseq|NC_002516.2|chromosome	117552	118001	+	450	137
PA0097	refseq|NC_002516.2|chromosome	117931	119130	+	1200	114
PA0098	refseq|NC_002516.2|chromosome	119127	120164	+	1038	110
PA0099	refseq|NC_002516.2|chromosome	120164	121324	+	1161	447
PA0100	refseq|NC_002516.2|chromosome	121346	122266	+	921	1142
PA0101	refseq|NC_002516.2|chromosome	122248	123495	+	1248	558
