# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "--countReadPairs" "-s" "0" "-a" "PAO1_2/data/reference/Pseudomonas_aeruginosa_PAO1_107.gff" "-o" "PAO1_2/results/counts/SRR14995084_counts.txt" "-t" "gene" "-g" "Alias" "PAO1_2/data/aligned/SRR14995084.bam" 
Geneid	Chr	Start	End	Strand	Length	PAO1_2/data/aligned/SRR14995084.bam
PA0001	refseq|NC_002516.2|chromosome	483	2027	+	1545	8478
PA0002	refseq|NC_002516.2|chromosome	2056	3159	+	1104	9367
PA0003	refseq|NC_002516.2|chromosome	3169	4278	+	1110	3788
PA0004	refseq|NC_002516.2|chromosome	4275	6695	+	2421	13154
PA0005	refseq|NC_002516.2|chromosome	7018	7791	-	774	962
PA0006	refseq|NC_002516.2|chromosome	7803	8339	-	537	1159
PA0007	refseq|NC_002516.2|chromosome	8671	10377	+	1707	5038
PA0008	refseq|NC_002516.2|chromosome	10434	12488	-	2055	3036
PA0009	refseq|NC_002516.2|chromosome	12488	13435	-	948	2094
PA0010	refseq|NC_002516.2|chromosome	13540	14091	+	552	505
PA0011	refseq|NC_002516.2|chromosome	14235	15122	+	888	1465
PA0012	refseq|NC_002516.2|chromosome	15207	15473	+	267	953
PA0013	refseq|NC_002516.2|chromosome	15620	16273	+	654	467
PA0014	refseq|NC_002516.2|chromosome	16335	16607	-	273	577
PA0015	refseq|NC_002516.2|chromosome	16900	17217	-	318	1374
PA0016	refseq|NC_002516.2|chromosome	17366	18739	-	1374	3107
PA0017	refseq|NC_002516.2|chromosome	18767	20071	-	1305	1092
PA0018	refseq|NC_002516.2|chromosome	20068	21012	-	945	1240
PA0019	refseq|NC_002516.2|chromosome	21067	21573	-	507	4132
PA0020	refseq|NC_002516.2|chromosome	21712	22737	+	1026	2841
PA0021	refseq|NC_002516.2|chromosome	22872	23960	+	1089	261
PA0022	refseq|NC_002516.2|chromosome	24001	24558	+	558	833
PA0023	refseq|NC_002516.2|chromosome	24568	25545	-	978	3661
PA0024	refseq|NC_002516.2|chromosome	25736	26653	+	918	741
PA0025	refseq|NC_002516.2|chromosome	26711	27535	+	825	531
PA0026	refseq|NC_002516.2|chromosome	27646	28632	+	987	2777
PA0027	refseq|NC_002516.2|chromosome	28613	29899	+	1287	940
PA0028	refseq|NC_002516.2|chromosome	29896	30498	+	603	302
PA0029	refseq|NC_002516.2|chromosome	30502	32055	-	1554	335
PA0030	refseq|NC_002516.2|chromosome	32060	32983	-	924	235
PA0031	refseq|NC_002516.2|chromosome	33000	34511	-	1512	617
PA0032	refseq|NC_002516.2|chromosome	34624	35538	+	915	689
PA0033	refseq|NC_002516.2|chromosome	35905	36270	-	366	342
PA0034	refseq|NC_002516.2|chromosome	36278	36901	-	624	285
PA0035	refseq|NC_002516.2|chromosome	37087	37893	-	807	1474
PA0036	refseq|NC_002516.2|chromosome	37890	39098	-	1209	3197
